153;Актау; Карагандинская область 
154;Балхаш; Карагандинская область 
155;Дубовка; Карагандинская область 
156;Жезды; Карагандинская область 
157;Жезказган; Карагандинская область 
158;Караганда; Карагандинская область 
159;Каражал; Карагандинская область 
160;Каркаралинск; Карагандинская область 
161;Осакаровка; Карагандинская область 
162;Сарань; Карагандинская область 
163;Сатпаев; Карагандинская область 
164;Темиртау; Карагандинская область 
165;Топар; Карагандинская область 
166;Шахтинск; Карагандинская область 
167;Шашубай; Карагандинская область 
168;Аманкарагай; Костанайская область 
169;Аркалык; Костанайская область 
170;Аулиеколь; Костанайская область 
171;Жалгыскан; Костанайская область 
172;Житикара; Костанайская область 
173;Затобольск; Костанайская область 
174;Камысты; Костанайская область 
175;Карабалык; Костанайская область 
176;Костанай; Костанайская область 
177;Кушмурун; Костанайская область 
178;Лисаковск; Костанайская область 
179;Приозёрный; Костанайская область 
180;Раздольный; Костанайская область 
181;Рудный; Костанайская область 
182;Садовое; Костанайская область 
183;Сарыколь; Костанайская область 
184;Силантьевка; Костанайская область 
185;Тарановское; Костанайская область 
186;Узунколь; Костанайская область 
187;Федоровка; Костанайская область 
188;Айтеке Би; Кызылординская область 
189;Аральск; Кызылординская область 
190;Жанакорган; Кызылординская область 
191;Жосалы; Кызылординская область 
192;Казалинск; Кызылординская область 
193;Кызылорда; Кызылординская область 
194;Макпалколь; Кызылординская область 
195;Теренозек; Кызылординская область 
196;Торебай Би; Кызылординская область 
197;Шиели; Кызылординская область 
198;Актау; Мангистауская область 
199;Актобе; Мангистауская область 
200;Бейнеу; Мангистауская область 
201;Жанаозен; Мангистауская область 
202;Умирзак; Мангистауская область 
203;Форт-Шевченко; Мангистауская область 
204;Шетпе; Мангистауская область 
205;Акжар; Павлодарская область 
206;Аксу; Павлодарская область 
207;Актогай; Павлодарская область 
208;Ефремовка; Павлодарская область 
209;Калкаман; Павлодарская область 
210;Коктобе; Павлодарская область 
211;Майкаин; Павлодарская область 
212;Павлодар; Павлодарская область 
213;Шидерты; Павлодарская область 
214;Экибастуз; Павлодарская область 
215;Бишкуль; Северо-Казахстанская область 
216;Булаево; Северо-Казахстанская область 
217;Имантау; Северо-Казахстанская область 
218;Ленинградское; Северо-Казахстанская область 
219;Мамлютка; Северо-Казахстанская область 
220;Новоишимское; Северо-Казахстанская область 
221;Петропавловск; Северо-Казахстанская область 
222;Саратов; Северо-Казахстанская область 
223;Саумалколь; Северо-Казахстанская область 
224;Тайынша; Северо-Казахстанская область 
225;Аксукент; Южно-Казахстанская область 
226;Арысь; Южно-Казахстанская область 
227;Асык Ата; Южно-Казахстанская область 
228;Атакент; Южно-Казахстанская область 
229;Жетысай; Южно-Казахстанская область 
230;Казыбек би; Южно-Казахстанская область 
231;Кентау; Южно-Казахстанская область 
232;Коктерек; Южно-Казахстанская область 
233;Кызылсай; Южно-Казахстанская область 
234;Ленгер; Южно-Казахстанская область 
235;Ошакты; Южно-Казахстанская область 
236;Шубар; Южно-Казахстанская область 
237;Сайрам; Южно-Казахстанская область 
238;Сарыагаш; Южно-Казахстанская область 
239;Тайынша; Южно-Казахстанская область 
240;Туркестан; Южно-Казахстанская область 
241;Чилик; Южно-Казахстанская область 
242;Шардара; Южно-Казахстанская область 
243;Шымкент; Южно-Казахстанская область
